index,placeCode,value,countryCodeISO3,indicator,adminLevel
453,PH045632000,0.484598963,PHL,vulnerable_group,3
454,PH045633000,0.407541697,PHL,vulnerable_group,3
455,PH045634000,0.280420135,PHL,vulnerable_group,3
456,PH045635000,0.211649622,PHL,vulnerable_group,3
457,PH045636000,0.252060738,PHL,vulnerable_group,3
458,PH045637000,0.289819376,PHL,vulnerable_group,3
459,PH045638000,0.209302326,PHL,vulnerable_group,3
460,PH045639000,0.114792503,PHL,vulnerable_group,3
461,PH045640000,0.280111073,PHL,vulnerable_group,3
462,PH045641000,0.20617284,PHL,vulnerable_group,3
463,PH045642000,0.325282964,PHL,vulnerable_group,3
464,PH045644000,0.293288212,PHL,vulnerable_group,3
465,PH045645000,0.118920817,PHL,vulnerable_group,3
466,PH045646000,0.240560764,PHL,vulnerable_group,3
467,PH045647000,0.0854384,PHL,vulnerable_group,3
468,PH045648000,0.110109032,PHL,vulnerable_group,3
469,PH045649000,0.241412832,PHL,vulnerable_group,3
470,PH045801000,0.075860962,PHL,vulnerable_group,3
471,PH045802000,0.025491193,PHL,vulnerable_group,3
472,PH045803000,0.095576424,PHL,vulnerable_group,3
473,PH045804000,0.068301016,PHL,vulnerable_group,3
474,PH045805000,0.02294843,PHL,vulnerable_group,3
475,PH045806000,0.191270629,PHL,vulnerable_group,3
476,PH045807000,0.213282621,PHL,vulnerable_group,3
477,PH045808000,0.069541269,PHL,vulnerable_group,3
478,PH045809000,0.110132496,PHL,vulnerable_group,3
479,PH045810000,0.121481161,PHL,vulnerable_group,3
480,PH045811000,0.065961161,PHL,vulnerable_group,3
481,PH045812000,0.159957586,PHL,vulnerable_group,3
482,PH045813000,0.072419553,PHL,vulnerable_group,3
483,PH045814000,0.116471553,PHL,vulnerable_group,3
484,PH050501000,0.283314748,PHL,vulnerable_group,3
485,PH050502000,0.275621486,PHL,vulnerable_group,3
486,PH050503000,0.185873471,PHL,vulnerable_group,3
487,PH050504000,0.283022033,PHL,vulnerable_group,3
488,PH050505000,0.441616374,PHL,vulnerable_group,3
489,PH050506000,0.200593672,PHL,vulnerable_group,3
490,PH050507000,0.327404437,PHL,vulnerable_group,3
491,PH050508000,0.277222,PHL,vulnerable_group,3
492,PH050509000,0.278446457,PHL,vulnerable_group,3
