id,adminLevel,placeCode,value,countryCodeISO3,indicator
436,3,ET040714,0.1,ETH,Hotspot_Nutrition
437,3,ET040797,0.1,ETH,Hotspot_Nutrition
438,3,ET040799,0.1,ETH,Hotspot_Nutrition
439,3,ET040801,2,ETH,Hotspot_Nutrition
440,3,ET040802,1,ETH,Hotspot_Nutrition
441,3,ET040803,1,ETH,Hotspot_Nutrition
442,3,ET040804,0.1,ETH,Hotspot_Nutrition
443,3,ET040805,0.1,ETH,Hotspot_Nutrition
444,3,ET040806,2,ETH,Hotspot_Nutrition
445,3,ET040807,0.1,ETH,Hotspot_Nutrition
446,3,ET040808,0.1,ETH,Hotspot_Nutrition
447,3,ET040809,0.1,ETH,Hotspot_Nutrition
448,3,ET040810,1,ETH,Hotspot_Nutrition
449,3,ET040811,1,ETH,Hotspot_Nutrition
450,3,ET040812,2,ETH,Hotspot_Nutrition
451,3,ET040813,0.1,ETH,Hotspot_Nutrition
452,3,ET040814,3,ETH,Hotspot_Nutrition
453,3,ET040815,0.1,ETH,Hotspot_Nutrition
454,3,ET040816,0.1,ETH,Hotspot_Nutrition
455,3,ET040817,0.1,ETH,Hotspot_Nutrition
456,3,ET040818,0.1,ETH,Hotspot_Nutrition
457,3,ET040819,0.1,ETH,Hotspot_Nutrition
458,3,ET040820,0.1,ETH,Hotspot_Nutrition
459,3,ET040821,0.1,ETH,Hotspot_Nutrition
460,3,ET040822,0.1,ETH,Hotspot_Nutrition
461,3,ET040823,0.1,ETH,Hotspot_Nutrition
462,3,ET040824,0.1,ETH,Hotspot_Nutrition
463,3,ET040825,0.1,ETH,Hotspot_Nutrition
464,3,ET040893,1,ETH,Hotspot_Nutrition
465,3,ET040894,0.1,ETH,Hotspot_Nutrition
466,3,ET040901,1,ETH,Hotspot_Nutrition
467,3,ET040902,1,ETH,Hotspot_Nutrition
468,3,ET040903,2,ETH,Hotspot_Nutrition
469,3,ET040904,2,ETH,Hotspot_Nutrition
470,3,ET040905,0.1,ETH,Hotspot_Nutrition
471,3,ET040906,2,ETH,Hotspot_Nutrition
