"pcode","date","dmp"
"KE014",2012-05-10,64.0058479532164
"KE007",2012-05-10,12.024531024531
"KE043",2012-05-10,77.4924623115578
"KE019",2012-05-10,59.768115942029
"KE011",2012-05-10,11.3943314849045
"KE034",2012-05-10,47.2995658465991
"KE037",2012-05-10,63.8624338624339
"KE035",2012-05-10,70.1677419354839
"KE022",2012-05-10,56.7051282051282
"KE003",2012-05-10,23.7757961783439
"KE020",2012-05-10,72.5760869565217
"KE045",2012-05-10,85.175
"KE042",2012-05-10,69.6428571428571
"KE015",2012-05-10,33.0876288659794
"KE002",2012-05-10,29.4038461538462
"KE031",2012-05-10,51.0586319218241
"KE016",2012-05-10,52.0829015544041
"KE017",2012-05-10,49.2681992337165
"KE009",2012-05-10,21.4801204819277
"KE025",2012-05-10,41.6424287856072
"KE010",2012-05-10,18.7386313465784
"KE012",2012-05-10,58.5313901345291
"KE044",2012-05-10,73.1597633136095
"KE021",2012-05-10,71.159509202454
"KE047",2012-05-10,34.6976744186046
"KE032",2012-05-10,51.6128318584071
"KE029",2012-05-10,71.6120218579235
"KE046",2012-05-10,83.8275862068966
"KE018",2012-05-10,53.0829268292683
"KE041",2012-05-10,73.39375
"KE006",2012-05-10,24.0558608058608
"KE004",2012-05-10,9.73601609657948
"KE013",2012-05-10,60.640243902439
"KE026",2012-05-10,50.3141025641026
"KE023",2012-05-10,26.3549210770659
"KE027",2012-05-10,47.3954545454545
"KE038",2012-05-10,79.5263157894737
"KE008",2012-05-10,11.0234936428966
"KE024",2012-05-10,53.8279386712095
"KE033",2012-05-10,57.661996497373
"KE001",2012-05-10,17.6
"KE005",2012-05-10,31.620320855615
"KE030",2012-05-20,70.4788321167883
"KE036",2012-05-20,82.6490066225166
"KE039",2012-05-20,65.281914893617
"KE040",2012-05-20,71.1308411214953
"KE028",2012-05-20,80.6051282051282
"KE014",2012-05-20,65.5029239766082
"KE007",2012-05-20,12.4505772005772
"KE043",2012-05-20,86
"KE019",2012-05-20,68.1658536585366
"KE011",2012-05-20,9.52495378927911
"KE034",2012-05-20,51.4131693198263
"KE037",2012-05-20,74.1428571428571
"KE035",2012-05-20,79.6903225806452
"KE022",2012-05-20,63.0064102564103
