wkt,name,highway,waterways,depth,vulnerability,fid
"MULTILINESTRING ((41.8724188 9.5788914, 41.8725014 9.5789256, 41.8725523 9.5789309, 41.8725832 9.5788767))",,residential,,0,no risk,96
"MULTILINESTRING ((41.8701746 9.5784297, 41.8704787 9.5785469, 41.8705139 9.5785699, 41.8706657 9.5786021, 41.8708049 9.5785686, 41.8708661 9.5785641))",,residential,,0,no risk,97
"MULTILINESTRING ((41.8321842 9.599282, 41.8319893 9.5987767, 41.8318941 9.5985192))",,residential,,0,no risk,98
"MULTILINESTRING ((41.8343969 9.5944041, 41.8346243 9.5941526, 41.8353194 9.5938806, 41.8357114 9.5937318, 41.8359299 9.5936494, 41.8365338 9.5934046, 41.8371619 9.59315, 41.8376112 9.5930302, 41.8377242 9.593011, 41.8381105 9.5929353))",,residential,,0,no risk,99
"MULTILINESTRING ((41.8365158 9.5987553, 41.8365709 9.5979013, 41.8366221 9.5973754))",,residential,,0,no risk,100
"MULTILINESTRING ((41.8316376 9.6011236, 41.8312564 9.6000384))",,residential,,0,no risk,101
"MULTILINESTRING ((41.8310875 9.5996453, 41.8312564 9.6000384))",,residential,,0,no risk,102
"MULTILINESTRING ((41.8407011 9.5971856, 41.8400251 9.5970091, 41.839373 9.5968295, 41.8389881 9.5967081, 41.8389192 9.59669, 41.8384861 9.5965637, 41.8373361 9.5962295))",,residential,,0,no risk,103
"MULTILINESTRING ((41.7810955 9.6174894, 41.7811545 9.617205, 41.7812181 9.6169632, 41.7812249 9.6168356, 41.7812295 9.6166721, 41.781282 9.6164556, 41.7812865 9.6163913))",,residential,,0,no risk,104
"MULTILINESTRING ((41.857532 9.61193, 41.8576755 9.6119604, 41.8577374 9.6119726))",,service,,0,no risk,105
